# With hugepahes and interleaving
Batch size = 2008, CPU: 0.000452, GPU: 0.000200, CPU/GPU: 2.260644
Batch size = 2016, CPU: 0.000461, GPU: 0.000188, CPU/GPU: 2.458051
Batch size = 2024, CPU: 0.000455, GPU: 0.000205, CPU/GPU: 2.217602
Batch size = 2032, CPU: 0.000464, GPU: 0.000209, CPU/GPU: 2.225599
Batch size = 2040, CPU: 0.000458, GPU: 0.000208, CPU/GPU: 2.195887
Batch size = 2048, CPU: 0.000468, GPU: 0.000199, CPU/GPU: 2.349715
Batch size = 2056, CPU: 0.000462, GPU: 0.000185, CPU/GPU: 2.503885
Batch size = 2064, CPU: 0.000471, GPU: 0.000200, CPU/GPU: 2.359294
Batch size = 2072, CPU: 0.000465, GPU: 0.000206, CPU/GPU: 2.252007
Batch size = 2080, CPU: 0.000476, GPU: 0.000200, CPU/GPU: 2.384916
Batch size = 2088, CPU: 0.000482, GPU: 0.000198, CPU/GPU: 2.435850
Batch size = 2096, CPU: 0.000496, GPU: 0.000175, CPU/GPU: 2.837223
Batch size = 2104, CPU: 0.000473, GPU: 0.000205, CPU/GPU: 2.311148
Batch size = 2112, CPU: 0.000484, GPU: 0.000192, CPU/GPU: 2.525782
Batch size = 2120, CPU: 0.000480, GPU: 0.000206, CPU/GPU: 2.326289
Batch size = 2128, CPU: 0.000488, GPU: 0.000176, CPU/GPU: 2.770826
Batch size = 2136, CPU: 0.000480, GPU: 0.000218, CPU/GPU: 2.201258
Batch size = 2144, CPU: 0.000493, GPU: 0.000192, CPU/GPU: 2.564192
Batch size = 2152, CPU: 0.000484, GPU: 0.000200, CPU/GPU: 2.417627
Batch size = 2160, CPU: 0.000494, GPU: 0.000193, CPU/GPU: 2.560541
Batch size = 2168, CPU: 0.000489, GPU: 0.000196, CPU/GPU: 2.495511
Batch size = 2176, CPU: 0.000496, GPU: 0.000208, CPU/GPU: 2.381600
Batch size = 2184, CPU: 0.000494, GPU: 0.000207, CPU/GPU: 2.383388
Batch size = 2192, CPU: 0.000502, GPU: 0.000214, CPU/GPU: 2.351300
Batch size = 2200, CPU: 0.000500, GPU: 0.000205, CPU/GPU: 2.432343
Batch size = 2208, CPU: 0.000507, GPU: 0.000178, CPU/GPU: 2.853388
Batch size = 2216, CPU: 0.000501, GPU: 0.000200, CPU/GPU: 2.504122
Batch size = 2224, CPU: 0.000512, GPU: 0.000200, CPU/GPU: 2.556647
Batch size = 2232, CPU: 0.000515, GPU: 0.000210, CPU/GPU: 2.449386
Batch size = 2240, CPU: 0.000614, GPU: 0.000203, CPU/GPU: 3.028397
Batch size = 2248, CPU: 0.000518, GPU: 0.000206, CPU/GPU: 2.514669
Batch size = 2256, CPU: 0.000525, GPU: 0.000211, CPU/GPU: 2.491823
Batch size = 2264, CPU: 0.000513, GPU: 0.000207, CPU/GPU: 2.478437
Batch size = 2272, CPU: 0.000525, GPU: 0.000189, CPU/GPU: 2.778976
Batch size = 2280, CPU: 0.000517, GPU: 0.000205, CPU/GPU: 2.522779
Batch size = 2288, CPU: 0.000526, GPU: 0.000179, CPU/GPU: 2.934220
Batch size = 2296, CPU: 0.000521, GPU: 0.000208, CPU/GPU: 2.507316
Batch size = 2304, CPU: 0.000529, GPU: 0.000187, CPU/GPU: 2.826469
Batch size = 2312, CPU: 0.000523, GPU: 0.000204, CPU/GPU: 2.567800
Batch size = 2320, CPU: 0.000577, GPU: 0.000188, CPU/GPU: 3.064889
Batch size = 2328, CPU: 0.000528, GPU: 0.000199, CPU/GPU: 2.654695
Batch size = 2336, CPU: 0.000537, GPU: 0.000190, CPU/GPU: 2.821499
Batch size = 2344, CPU: 0.000531, GPU: 0.000203, CPU/GPU: 2.615534
Batch size = 2352, CPU: 0.000540, GPU: 0.000195, CPU/GPU: 2.768578
Batch size = 2360, CPU: 0.000534, GPU: 0.000213, CPU/GPU: 2.501772
Batch size = 2368, CPU: 0.000543, GPU: 0.000197, CPU/GPU: 2.756976
Batch size = 2376, CPU: 0.000538, GPU: 0.000202, CPU/GPU: 2.658487
Batch size = 2384, CPU: 0.000546, GPU: 0.000204, CPU/GPU: 2.678192
Batch size = 2392, CPU: 0.000543, GPU: 0.000207, CPU/GPU: 2.622436
Batch size = 2400, CPU: 0.000550, GPU: 0.000237, CPU/GPU: 2.318536
Batch size = 2408, CPU: 0.000545, GPU: 0.000209, CPU/GPU: 2.609818
Batch size = 2416, CPU: 0.000555, GPU: 0.000190, CPU/GPU: 2.921361
Batch size = 2424, CPU: 0.000548, GPU: 0.000206, CPU/GPU: 2.663390
Batch size = 2432, CPU: 0.000558, GPU: 0.000182, CPU/GPU: 3.071478
Batch size = 2440, CPU: 0.000550, GPU: 0.000194, CPU/GPU: 2.833060
Batch size = 2448, CPU: 0.000652, GPU: 0.000199, CPU/GPU: 3.285225
Batch size = 2456, CPU: 0.000557, GPU: 0.000213, CPU/GPU: 2.618531
Batch size = 2464, CPU: 0.000574, GPU: 0.000185, CPU/GPU: 3.093896
Batch size = 2472, CPU: 0.000587, GPU: 0.000202, CPU/GPU: 2.909669
Batch size = 2480, CPU: 0.000575, GPU: 0.000193, CPU/GPU: 2.979537
Batch size = 2488, CPU: 0.000586, GPU: 0.000206, CPU/GPU: 2.839486
Batch size = 2496, CPU: 0.000580, GPU: 0.000200, CPU/GPU: 2.905963
Batch size = 2504, CPU: 0.000565, GPU: 0.000201, CPU/GPU: 2.807335
Batch size = 2512, CPU: 0.000574, GPU: 0.000188, CPU/GPU: 3.046954
Batch size = 2520, CPU: 0.000568, GPU: 0.000210, CPU/GPU: 2.701652
Batch size = 2528, CPU: 0.000579, GPU: 0.000201, CPU/GPU: 2.880319
Batch size = 2536, CPU: 0.000575, GPU: 0.000211, CPU/GPU: 2.726732
Batch size = 2544, CPU: 0.000581, GPU: 0.000205, CPU/GPU: 2.833102
Batch size = 2552, CPU: 0.000574, GPU: 0.000210, CPU/GPU: 2.727638
Batch size = 2560, CPU: 0.000585, GPU: 0.000187, CPU/GPU: 3.134496
Batch size = 2568, CPU: 0.000580, GPU: 0.000208, CPU/GPU: 2.787506
Batch size = 2576, CPU: 0.000589, GPU: 0.000203, CPU/GPU: 2.909714
Batch size = 2584, CPU: 0.000584, GPU: 0.000210, CPU/GPU: 2.783660
Batch size = 2592, CPU: 0.000593, GPU: 0.000194, CPU/GPU: 3.055197
Batch size = 2600, CPU: 0.000588, GPU: 0.000211, CPU/GPU: 2.789006
Batch size = 2608, CPU: 0.000596, GPU: 0.000199, CPU/GPU: 2.993796
Batch size = 2616, CPU: 0.000593, GPU: 0.000212, CPU/GPU: 2.799508
