# Without using hugepages and inteleaving
Batch size = 2000, CPU: 0.001800, GPU: 0.000205, CPU/GPU: 8.789054
Batch size = 2008, CPU: 0.001820, GPU: 0.000198, CPU/GPU: 9.206396
Batch size = 2016, CPU: 0.001818, GPU: 0.000203, CPU/GPU: 8.943788
Batch size = 2024, CPU: 0.001837, GPU: 0.000185, CPU/GPU: 9.912729
Batch size = 2032, CPU: 0.001842, GPU: 0.000207, CPU/GPU: 8.911169
Batch size = 2040, CPU: 0.001834, GPU: 0.000183, CPU/GPU: 10.000534
Batch size = 2048, CPU: 0.001961, GPU: 0.000202, CPU/GPU: 9.725819
Batch size = 2056, CPU: 0.001857, GPU: 0.000196, CPU/GPU: 9.497507
Batch size = 2064, CPU: 0.001844, GPU: 0.000206, CPU/GPU: 8.942363
Batch size = 2072, CPU: 0.001898, GPU: 0.000186, CPU/GPU: 10.216290
Batch size = 2080, CPU: 0.001869, GPU: 0.000203, CPU/GPU: 9.227177
Batch size = 2088, CPU: 0.001880, GPU: 0.000193, CPU/GPU: 9.746466
Batch size = 2096, CPU: 0.001866, GPU: 0.000200, CPU/GPU: 9.336676
Batch size = 2104, CPU: 0.001894, GPU: 0.000192, CPU/GPU: 9.884698
Batch size = 2112, CPU: 0.001887, GPU: 0.000190, CPU/GPU: 9.928702
Batch size = 2120, CPU: 0.001892, GPU: 0.000193, CPU/GPU: 9.794032
Batch size = 2128, CPU: 0.001898, GPU: 0.000199, CPU/GPU: 9.523103
Batch size = 2136, CPU: 0.001913, GPU: 0.000193, CPU/GPU: 9.923710
Batch size = 2144, CPU: 0.001912, GPU: 0.000203, CPU/GPU: 9.410410
Batch size = 2152, CPU: 0.001935, GPU: 0.000186, CPU/GPU: 10.420547
Batch size = 2160, CPU: 0.001976, GPU: 0.000208, CPU/GPU: 9.492950
Batch size = 2168, CPU: 0.001937, GPU: 0.000185, CPU/GPU: 10.469137
Batch size = 2176, CPU: 0.001975, GPU: 0.000201, CPU/GPU: 9.838182
Batch size = 2184, CPU: 0.001943, GPU: 0.000186, CPU/GPU: 10.464736
Batch size = 2192, CPU: 0.001946, GPU: 0.000203, CPU/GPU: 9.593409
Batch size = 2200, CPU: 0.001947, GPU: 0.000194, CPU/GPU: 10.059108
Batch size = 2208, CPU: 0.001965, GPU: 0.000209, CPU/GPU: 9.382774
Batch size = 2216, CPU: 0.001961, GPU: 0.000196, CPU/GPU: 9.982411
Batch size = 2224, CPU: 0.001970, GPU: 0.000206, CPU/GPU: 9.583644
Batch size = 2232, CPU: 0.001967, GPU: 0.000200, CPU/GPU: 9.840306
Batch size = 2240, CPU: 0.001993, GPU: 0.000209, CPU/GPU: 9.542539
Batch size = 2248, CPU: 0.002072, GPU: 0.000199, CPU/GPU: 10.416426
Batch size = 2256, CPU: 0.001998, GPU: 0.000216, CPU/GPU: 9.260007
Batch size = 2264, CPU: 0.001990, GPU: 0.000187, CPU/GPU: 10.648292
Batch size = 2272, CPU: 0.002012, GPU: 0.000173, CPU/GPU: 11.652145
Batch size = 2280, CPU: 0.002044, GPU: 0.000201, CPU/GPU: 10.191521
Batch size = 2288, CPU: 0.002033, GPU: 0.000208, CPU/GPU: 9.767609
Batch size = 2296, CPU: 0.002004, GPU: 0.000189, CPU/GPU: 10.630811
Batch size = 2304, CPU: 0.002030, GPU: 0.000206, CPU/GPU: 9.873869
Batch size = 2312, CPU: 0.002036, GPU: 0.000198, CPU/GPU: 10.298737
Batch size = 2320, CPU: 0.002081, GPU: 0.000205, CPU/GPU: 10.167014
Batch size = 2328, CPU: 0.002034, GPU: 0.000205, CPU/GPU: 9.902008
Batch size = 2336, CPU: 0.002054, GPU: 0.000211, CPU/GPU: 9.727185
Batch size = 2344, CPU: 0.002055, GPU: 0.000205, CPU/GPU: 10.030282
Batch size = 2352, CPU: 0.002060, GPU: 0.000204, CPU/GPU: 10.085545
Batch size = 2360, CPU: 0.002076, GPU: 0.000201, CPU/GPU: 10.306258
Batch size = 2368, CPU: 0.002090, GPU: 0.000205, CPU/GPU: 10.185155
Batch size = 2376, CPU: 0.002105, GPU: 0.000189, CPU/GPU: 11.130919
Batch size = 2384, CPU: 0.002073, GPU: 0.000210, CPU/GPU: 9.889385
Batch size = 2392, CPU: 0.002106, GPU: 0.000190, CPU/GPU: 11.074946
Batch size = 2400, CPU: 0.002067, GPU: 0.000208, CPU/GPU: 9.915113
Batch size = 2408, CPU: 0.002160, GPU: 0.000202, CPU/GPU: 10.694193
Batch size = 2416, CPU: 0.002096, GPU: 0.000199, CPU/GPU: 10.506981
Batch size = 2424, CPU: 0.002138, GPU: 0.000199, CPU/GPU: 10.752598
Batch size = 2432, CPU: 0.002116, GPU: 0.000208, CPU/GPU: 10.165101
Batch size = 2440, CPU: 0.002143, GPU: 0.000202, CPU/GPU: 10.626464
Batch size = 2448, CPU: 0.002124, GPU: 0.000207, CPU/GPU: 10.255442
Batch size = 2456, CPU: 0.002154, GPU: 0.000191, CPU/GPU: 11.260973
Batch size = 2464, CPU: 0.002146, GPU: 0.000205, CPU/GPU: 10.454240
Batch size = 2472, CPU: 0.002158, GPU: 0.000205, CPU/GPU: 10.501706
Batch size = 2480, CPU: 0.002149, GPU: 0.000225, CPU/GPU: 9.546784
Batch size = 2488, CPU: 0.002174, GPU: 0.000193, CPU/GPU: 11.277983
Batch size = 2496, CPU: 0.002179, GPU: 0.000206, CPU/GPU: 10.600852
Batch size = 2504, CPU: 0.002185, GPU: 0.000209, CPU/GPU: 10.429192
Batch size = 2512, CPU: 0.002181, GPU: 0.000208, CPU/GPU: 10.484118
Batch size = 2520, CPU: 0.002184, GPU: 0.000195, CPU/GPU: 11.178511
Batch size = 2528, CPU: 0.002195, GPU: 0.000206, CPU/GPU: 10.636855
Batch size = 2536, CPU: 0.002205, GPU: 0.000199, CPU/GPU: 11.053741
Batch size = 2544, CPU: 0.002228, GPU: 0.000205, CPU/GPU: 10.891406
Batch size = 2552, CPU: 0.002217, GPU: 0.000215, CPU/GPU: 10.308095
Batch size = 2560, CPU: 0.002239, GPU: 0.000208, CPU/GPU: 10.763190
Batch size = 2568, CPU: 0.002236, GPU: 0.000210, CPU/GPU: 10.663771
Batch size = 2576, CPU: 0.002204, GPU: 0.000207, CPU/GPU: 10.641443
Batch size = 2584, CPU: 0.002374, GPU: 0.000200, CPU/GPU: 11.854030
Batch size = 2592, CPU: 0.002229, GPU: 0.000204, CPU/GPU: 10.919190
Batch size = 2600, CPU: 0.002262, GPU: 0.000198, CPU/GPU: 11.438281
Batch size = 2608, CPU: 0.002250, GPU: 0.000203, CPU/GPU: 11.106054
Batch size = 2616, CPU: 0.002248, GPU: 0.000212, CPU/GPU: 10.601513
